corridor_id,corridor_name,origin_name,destination_name,route_direction,chainage_m,chainage_km,longitude,latitude,projected_x,projected_y,district,geometry_version
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47000.0,47.0,75.356813,33.567071,533117.23,3714212.42,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47100.0,47.1,75.355866,33.567483,533029.14,3714257.72,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47200.0,47.2,75.354851,33.567786,532934.85,3714291.05,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47300.0,47.3,75.353847,33.568101,532841.58,3714325.6,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47400.0,47.4,75.35306,33.568711,532768.24,3714393.03,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47500.0,47.5,75.352232,33.569288,532691.22,3714456.77,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47600.0,47.6,75.351305,33.569742,532604.99,3714506.75,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47700.0,47.7,75.350276,33.570004,532509.42,3714535.5,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47800.0,47.8,75.349294,33.570353,532418.14,3714573.82,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,47900.0,47.9,75.348388,33.57084,532333.82,3714627.55,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,48000.0,48.0,75.347469,33.57131,532248.33,3714679.44,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,48100.0,48.1,75.346543,33.571772,532162.29,3714730.32,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,48200.0,48.2,75.345573,33.572164,532072.11,3714773.47,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,48300.0,48.3,75.34458,33.572513,531979.82,3714811.89,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,48400.0,48.4,75.343538,33.572721,531883.05,3714834.68,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,48500.0,48.5,75.342462,33.572715,531783.14,3714833.69,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,48600.0,48.6,75.341393,33.572805,531683.92,3714843.24,anantnag,2.3A
NH44-JK-PILOT,NH-44 Jammu-Srinagar Highway Pilot Corridor,Udhampur Pilot Sector,Banihal / Anantnag Sector,South to North,48700.0,48.7,75.340318,33.572805,531584.16,3714842.94,anantnag,2.3A
